model,dataset,demographics,auc,iteration,metric
multilingual-e5-large,welfare,11,0.23073190190951656,1,spearman
potion-base-4M,welfare,3,0.10420399880787581,1,spearman
M2V_base_glove,welfare,2,0.009300729740610754,1,spearman
xlm-roberta-base,rai,Unknown,0.20330935628053992,1,spearman
M2V_base_glove_subword,welfare,2,0.024330974434942934,1,spearman
potion-base-2M,rai,Unknown,0.09689416830899843,1,spearman
text-embedding-3-large,rai,Kvinde,0.2295206529437478,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,0.2811623983744386,1,spearman
multilingual-e5-large-instruct,rai,Mand,0.2133675440184405,1,spearman
M2V_base_glove,welfare,1,0.06785510288315305,1,spearman
text-embedding-3-large,welfare,3,0.2382582627139148,1,spearman
text-embedding-ada-002,rai,Unknown,0.22482884696152058,1,spearman
M2V_base_output,welfare,4,0.14270647116191137,1,spearman
mmBERTscandi-base-embedding,rai,Unknown,0.21075120584204723,1,spearman
LaBSE,rai,Mand,0.17454499572516602,1,spearman
M2V_base_glove,rai,Mand,0.11363398708663237,1,spearman
LaBSE,rai,Unknown,0.1871650673361554,1,spearman
multilingual-e5-large,rai,Kvinde,0.20024894605393295,1,spearman
model2vecdk-stem,welfare,3,0.1994282213373869,1,spearman
text-embedding-3-large,welfare,2,0.2157540358248047,1,spearman
model2vecdk-stem,welfare,11,0.24147139175197438,1,spearman
static-similarity-mrl-multilingual-v1,welfare,4,0.14714036609614908,1,spearman
multilingual-e5-large,rai,Unknown,0.20991880166951096,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,0.23931465254483203,1,spearman
potion-base-8M,welfare,2,0.06913992463121012,1,spearman
text-embedding-3-large,welfare,4,0.22552561294002196,1,spearman
static-similarity-mrl-multilingual-v1,welfare,3,0.17186245917448406,1,spearman
xlm-roberta-base,welfare,11,0.10668896910821414,1,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Mand,0.13004815261295807,1,spearman
text-embedding-ada-002,rai,Mand,0.1979570909322312,1,spearman
snowflake-arctic-embed-l-v2.0,rai,Mand,0.19316143721159912,1,spearman
M2V_base_output,welfare,3,0.09919295632107071,1,spearman
static-similarity-mrl-multilingual-v1,rai,Unknown,0.11644589293689121,1,spearman
model2vecdk,rai,Mand,0.1704503696215583,1,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,2,0.1137614876527543,1,spearman
text-embedding-3-large,rai,Mand,0.23267475775925525,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,0.2614308068687425,1,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,3,0.31115569855912506,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,0.28770227943519755,1,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,1,0.13628122091851036,1,spearman
model2vecdk-stem,rai,Kvinde,0.18802171453141653,1,spearman
text-embedding-3-small,rai,Mand,0.18205600435671251,1,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Mand,0.2303313191432985,1,spearman
M2V_base_output,welfare,1,0.10316199718449236,1,spearman
multilingual-e5-large-instruct,welfare,2,0.22816505323484482,1,spearman
dfm-sentence-encoder-large,welfare,1,0.1727607327368009,1,spearman
multilingual-e5-large,welfare,1,0.22901663530759528,1,spearman
snowflake-arctic-embed-l-v2.0,welfare,11,0.253057837725268,1,spearman
nb-sbert-base,rai,Kvinde,0.21595963074232688,1,spearman
M2V_base_glove,rai,Kvinde,0.11036850068167368,1,spearman
snowflake-arctic-embed-l-v2.0,welfare,1,0.25414270613285633,1,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,4,0.31796183221689306,1,spearman
dfm-sentence-encoder-large,welfare,4,0.19718761259180734,1,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,0.25678125755878506,1,spearman
xlm-roberta-large,welfare,2,0.047216922557508874,1,spearman
m2v-dfm-large,rai,Unknown,0.23354222089870053,1,spearman
mmBERTscandi-base-embedding,rai,Kvinde,0.16546943970185995,1,spearman
dfm-sentence-encoder-large,rai,Unknown,0.1863098758124643,1,spearman
multilingual-e5-large-instruct,welfare,1,0.2815238748218361,1,spearman
multilingual-e5-large-instruct,rai,Kvinde,0.2476663624606863,1,spearman
model2vecdk-stem,rai,Mand,0.17026199379452192,1,spearman
LaBSE,welfare,1,0.23876070691308826,1,spearman
model2vecdk-stem,rai,Unknown,0.1867368111777956,1,spearman
Qwen3-Embedding-0.6B,rai,Mand,0.021497936790324603,1,spearman
xlm-roberta-large,rai,Unknown,0.17222645695312638,1,spearman
potion-base-2M,welfare,2,0.043134333457551945,1,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,11,0.3270215175704408,1,spearman
mxbai-embed-large-v1,rai,Unknown,0.18884438247605648,1,spearman
static-similarity-mrl-multilingual-v1,rai,Mand,0.14322159607295443,1,spearman
model2vecdk,rai,Kvinde,0.19079541273604866,1,spearman
multilingual-e5-small,rai,Mand,0.18377647354668403,1,spearman
potion-multilingual-128M,welfare,4,0.25601287368055964,1,spearman
text-embedding-3-large,welfare,11,0.2823434832514134,1,spearman
nb-sbert-base,welfare,2,0.23739298310043158,1,spearman
bge-m3,welfare,4,0.2177543426814816,1,spearman
multilingual-e5-base,welfare,4,0.1881296568302929,1,spearman
bge-m3,welfare,3,0.20234407115879635,1,spearman
multilingual-e5-small,welfare,2,0.17621440838429522,1,spearman
xlm-roberta-large,rai,Mand,0.11038714210271176,1,spearman
bge-m3,rai,Mand,0.2042673398736227,1,spearman
potion-base-2M,welfare,4,0.13390305168036412,1,spearman
M2V_base_glove_subword,welfare,3,0.0857777725008396,1,spearman
M2V_base_output,welfare,2,0.046090974141110824,1,spearman
potion-base-2M,rai,Kvinde,0.09903650438806252,1,spearman
M2V_base_output,rai,Unknown,0.09410970701403233,1,spearman
xlm-roberta-base,rai,Kvinde,0.14622744820562303,1,spearman
snowflake-arctic-embed-l-v2.0,welfare,4,0.228288971089804,1,spearman
potion-multilingual-128M,welfare,11,0.26676084283617696,1,spearman
Qwen3-Embedding-0.6B,welfare,2,0.08772849208770783,1,spearman
EmbeddingGemma-Scandi-300m,welfare,4,0.2924839989123111,1,spearman
text-embedding-3-large,rai,Unknown,0.24644088960290086,1,spearman
multilingual-e5-small,welfare,4,0.1715768442770794,1,spearman
text-embedding-3-small,welfare,4,0.2813077954750629,1,spearman
potion-base-4M,rai,Kvinde,0.09635429547157667,1,spearman
model2vecdk-stem,welfare,4,0.1923422478380257,1,spearman
model2vecdk,rai,Unknown,0.2315158739972219,1,spearman
m2v-dfm-large,welfare,4,0.20562392218467054,1,spearman
bge-m3,welfare,1,0.2583982863224884,1,spearman
potion-base-8M,rai,Kvinde,0.09887604583172407,2,spearman
potion-base-4M,welfare,4,0.16653909827126206,2,spearman
m2v-dfm-large,welfare,4,0.196332381957772,2,spearman
potion-base-8M,rai,Mand,0.12449102870483801,2,spearman
nb-sbert-base,welfare,11,0.2767241669880027,2,spearman
text-embedding-ada-002,welfare,4,0.22873758774342218,2,spearman
bge-m3,welfare,1,0.25806288218068246,2,spearman
potion-base-8M,welfare,2,0.06469444873998377,2,spearman
model2vecdk,rai,Unknown,0.21555515462975902,2,spearman
potion-base-4M,welfare,2,0.07817804893674242,2,spearman
Qwen3-Embedding-0.6B,rai,Mand,0.028002474480952427,2,spearman
M2V_base_glove,welfare,2,0.015119932238770544,2,spearman
dfm-sentence-encoder-large,rai,Unknown,0.19327426000583894,2,spearman
potion-base-2M,rai,Kvinde,0.0964466058755319,2,spearman
model2vecdk,welfare,4,0.25212347874088975,2,spearman
multilingual-e5-base,welfare,2,0.19525984872763233,2,spearman
static-similarity-mrl-multilingual-v1,welfare,1,0.20717670472144206,2,spearman
multilingual-e5-base,rai,Kvinde,0.1951248982331608,2,spearman
dfm-sentence-encoder-large,welfare,3,0.15890075566380232,2,spearman
xlm-roberta-base,welfare,4,0.10677565945425929,2,spearman
multilingual-e5-large-instruct,welfare,4,0.19331860847191207,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,0.23992272538940831,2,spearman
multilingual-e5-large-instruct,welfare,1,0.2638386252831343,2,spearman
M2V_base_glove_subword,rai,Kvinde,0.11204358440283237,2,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,3,0.1226610015977028,2,spearman
M2V_base_glove_subword,welfare,11,0.1487264940567188,2,spearman
model2vecdk-stem,welfare,2,0.15090111948323434,2,spearman
M2V_base_output,welfare,3,0.10164961133485827,2,spearman
xlm-roberta-base,rai,Unknown,0.17065149670026475,2,spearman
xlm-roberta-large,welfare,3,0.12340903307332714,2,spearman
snowflake-arctic-embed-l-v2.0,welfare,1,0.257207666505804,2,spearman
multilingual-e5-large,welfare,2,0.21616617385341463,2,spearman
m2v-dfm-large,rai,Kvinde,0.19154391910352317,2,spearman
potion-base-4M,rai,Kvinde,0.09810772833022892,2,spearman
mmBERTscandi-base-embedding,welfare,1,0.1859981213535771,2,spearman
mxbai-embed-large-v1,rai,Unknown,0.1709430017053318,2,spearman
potion-multilingual-128M,welfare,11,0.26528562983928555,2,spearman
text-embedding-ada-002,welfare,2,0.20130963637103935,2,spearman
mmBERTscandi-base-embedding,rai,Mand,0.15285120344565736,2,spearman
xlm-roberta-base,welfare,3,0.08247902373830152,2,spearman
M2V_base_glove_subword,welfare,2,0.033175998343692684,2,spearman
M2V_base_glove,welfare,3,0.0697002585579897,2,spearman
M2V_base_glove_subword,welfare,3,0.08557489151906954,2,spearman
xlm-roberta-base,welfare,11,0.11213553787610753,2,spearman
m2v-dfm-large,rai,Unknown,0.2398037443179255,2,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,11,0.32716055924310766,2,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,4,0.14135702050009027,2,spearman
M2V_base_glove_subword,rai,Mand,0.12795113165467947,2,spearman
text-embedding-3-small,welfare,3,0.2647024540770244,2,spearman
potion-base-2M,welfare,11,0.15343065408660164,2,spearman
multilingual-e5-base,welfare,1,0.20651152777348533,2,spearman
M2V_base_output,rai,Kvinde,0.11351796860683809,2,spearman
static-similarity-mrl-multilingual-v1,welfare,11,0.1676291735734622,2,spearman
text-embedding-3-small,rai,Kvinde,0.1991180536593408,2,spearman
text-embedding-3-small,rai,Unknown,0.1899815627886411,2,spearman
text-embedding-3-small,welfare,1,0.28966893485278195,2,spearman
xlm-roberta-base,rai,Kvinde,0.14445038677947367,2,spearman
mxbai-embed-large-v1,welfare,1,0.11654777674841646,2,spearman
potion-multilingual-128M,rai,Kvinde,0.16125095526670247,2,spearman
text-embedding-3-small,rai,Mand,0.18033412550787803,2,spearman
model2vecdk-stem,welfare,4,0.18380411823916423,2,spearman
text-embedding-ada-002,welfare,11,0.269089453720281,2,spearman
LaBSE,welfare,4,0.19445978156661897,2,spearman
snowflake-arctic-embed-l-v2.0,rai,Unknown,0.21406483739843787,2,spearman
bge-m3,rai,Unknown,0.2479941904217496,2,spearman
static-similarity-mrl-multilingual-v1,welfare,3,0.17629861004127495,2,spearman
nb-sbert-base,welfare,2,0.23219305841563095,2,spearman
potion-base-4M,welfare,3,0.1040339667144059,2,spearman
multilingual-e5-large-instruct,welfare,3,0.26313602519536466,2,spearman
multilingual-e5-base,welfare,3,0.1886738291871166,2,spearman
static-similarity-mrl-multilingual-v1,rai,Mand,0.14625098051156446,2,spearman
potion-base-4M,rai,Mand,0.11817753003451588,2,spearman
m2v-dfm-large,welfare,2,0.17971121848201824,2,spearman
bge-m3,welfare,3,0.20173675923059073,2,spearman
snowflake-arctic-embed-l-v2.0,rai,Kvinde,0.2130634748314341,2,spearman
M2V_base_glove,rai,Mand,0.11231372320565673,2,spearman
EmbeddingGemma-Scandi-300m,welfare,4,0.28189062174220825,2,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Mand,0.12596080167153026,2,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,3,0.30224852968100785,2,spearman
text-embedding-3-small,welfare,11,0.29813098860437653,2,spearman
snowflake-arctic-embed-l-v2.0,welfare,2,0.25029483756910664,2,spearman
multilingual-e5-base,rai,Mand,0.1740627494321078,2,spearman
xlm-roberta-base,welfare,1,0.08284307193717051,2,spearman
m2v-dfm-large,rai,Mand,0.20422729576204982,2,spearman
M2V_base_glove,welfare,11,0.0829017081955688,2,spearman
model2vecdk,rai,Kvinde,0.19338897730655152,2,spearman
mxbai-embed-large-v1,welfare,11,0.12804044825225291,2,spearman
dfm-sentence-encoder-large,welfare,4,0.19478395672109952,2,spearman
potion-base-2M,welfare,1,0.10866823986116733,2,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,2,0.10509345148885044,2,spearman
multilingual-e5-base,welfare,4,0.18487194630715328,2,spearman
multilingual-e5-large-instruct,welfare,2,0.23345467237181047,2,spearman
potion-base-8M,welfare,4,0.16063323755634334,2,spearman
text-embedding-3-large,welfare,3,0.23582021702337044,2,spearman
snowflake-arctic-embed-l-v2.0,welfare,11,0.246297218889398,2,spearman
mxbai-embed-large-v1,welfare,4,0.12505545290643397,2,spearman
bge-m3,welfare,11,0.27715396914815016,2,spearman
xlm-roberta-large,rai,Unknown,0.1498096003282574,2,spearman
Qwen3-Embedding-0.6B,welfare,11,0.09150525664792762,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,0.24198305982634224,2,spearman
multilingual-e5-large,welfare,4,0.20582991848432353,2,spearman
bge-m3,welfare,4,0.2299729401057163,2,spearman
multilingual-e5-small,welfare,3,0.1619043878391896,2,spearman
LaBSE,rai,Mand,0.18019497356752714,2,spearman
model2vecdk,welfare,2,0.213345753406874,2,spearman
text-embedding-3-small,welfare,2,0.23994098917871143,2,spearman
m2v-dfm-large,welfare,3,0.19159577530771815,2,spearman
bge-m3,welfare,2,0.24595808826388227,2,spearman
text-embedding-ada-002,rai,Mand,0.19739424571359995,2,spearman
EmbeddingGemma-Scandi-300m,rai,Kvinde,0.2033354904156611,2,spearman
bge-m3,rai,Kvinde,0.22018886564655743,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,0.24851116751906152,2,spearman
EmbeddingGemma-Scandi-300m,welfare,1,0.27433436355418106,2,spearman
potion-base-4M,welfare,1,0.12096840438378095,2,spearman
mmBERTscandi-base-embedding,welfare,2,0.14166780181500113,2,spearman
LaBSE,welfare,11,0.24218505866891016,2,spearman
potion-multilingual-128M,welfare,1,0.22843265247607514,2,spearman
LaBSE,welfare,1,0.2458948130118741,2,spearman
xlm-roberta-large,rai,Mand,0.11152890581529985,2,spearman
M2V_base_output,welfare,2,0.0416901299087332,2,spearman
model2vecdk,welfare,1,0.24577645220837946,2,spearman
multilingual-e5-large,rai,Unknown,0.2065333073053927,2,spearman
potion-base-4M,rai,Unknown,0.04812561881450093,2,spearman
potion-base-2M,rai,Mand,0.12042890729270864,2,spearman
potion-multilingual-128M,welfare,2,0.16787211434384014,2,spearman
potion-base-4M,welfare,11,0.15339866245450987,2,spearman
Qwen3-Embedding-0.6B,rai,Kvinde,0.051409755611684656,2,spearman
mxbai-embed-large-v1,welfare,2,0.08896437188768719,2,spearman
multilingual-e5-large,welfare,3,0.22355663342447388,2,spearman
multilingual-e5-large-instruct,rai,Unknown,0.267834980806017,2,spearman
EmbeddingGemma-Scandi-300m,welfare,11,0.329322393798844,2,spearman
Qwen3-Embedding-0.6B,rai,Unknown,0.09625859364958256,2,spearman
static-similarity-mrl-multilingual-v1,rai,Kvinde,0.12103797615354706,2,spearman
dfm-sentence-encoder-large,welfare,2,0.14626131280764804,2,spearman
potion-multilingual-128M,welfare,3,0.22673650363410525,2,spearman
EmbeddingGemma-Scandi-300m,rai,Mand,0.1884661621565571,2,spearman
multilingual-e5-large-instruct,rai,Mand,0.20863680674096013,2,spearman
M2V_base_output,rai,Unknown,0.07896702237229901,2,spearman
multilingual-e5-large-instruct,welfare,11,0.22767584383819398,2,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,0.15574641151293175,2,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,0.2521013492085156,2,spearman
EmbeddingGemma-Scandi-300m,welfare,2,0.25489799358380283,2,spearman
potion-multilingual-128M,rai,Unknown,0.16125280483386978,2,spearman
M2V_base_glove,welfare,4,0.10470750458362788,2,spearman
nb-sbert-base,welfare,1,0.27917718616951603,2,spearman
mmBERTscandi-base-embedding,welfare,3,0.16607558625606442,2,spearman
text-embedding-3-large,rai,Kvinde,0.22996572773367804,2,spearman
M2V_base_glove_subword,rai,Unknown,0.09788515345833329,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,0.2829555950335768,2,spearman
LaBSE,welfare,3,0.21994496838805172,2,spearman
potion-multilingual-128M,welfare,4,0.26293617918913,2,spearman
multilingual-e5-base,welfare,11,0.20447435755448404,2,spearman
multilingual-e5-large,welfare,11,0.2305883754155244,2,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,1,0.14004408070454136,2,spearman
mxbai-embed-large-v1,rai,Kvinde,0.1227312059684819,2,spearman
multilingual-e5-small,rai,Mand,0.180921390562472,2,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,2,0.2564998196788529,2,spearman
static-similarity-mrl-multilingual-v1,welfare,2,0.1675090434384728,2,spearman
potion-base-8M,welfare,3,0.11241531047235254,2,spearman
model2vecdk-stem,welfare,1,0.1955146690846298,2,spearman
text-embedding-ada-002,rai,Unknown,0.1939792608752485,2,spearman
nb-sbert-base,rai,Kvinde,0.2138584670573904,2,spearman
text-embedding-3-large,welfare,4,0.2129520076614831,2,spearman
M2V_base_output,welfare,4,0.15017529848673186,2,spearman
snowflake-arctic-embed-l-v2.0,welfare,4,0.2255854803714899,2,spearman
xlm-roberta-large,rai,Kvinde,0.11548303826936379,2,spearman
text-embedding-ada-002,rai,Kvinde,0.20571070826888493,2,spearman
mmBERTscandi-base-embedding,rai,Kvinde,0.16668344655864867,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,0.2945678934124223,2,spearman
mmBERTscandi-base-embedding,welfare,4,0.22018220810756434,2,spearman
m2v-dfm-large,welfare,1,0.2113100009656755,2,spearman
snowflake-arctic-embed-l-v2.0,rai,Mand,0.1963450818306336,2,spearman
potion-base-8M,welfare,1,0.12844183147716642,2,spearman
model2vecdk-stem,rai,Unknown,0.19058501793368499,2,spearman
model2vecdk,rai,Mand,0.17061333780386018,2,spearman
Qwen3-Embedding-0.6B,welfare,4,0.005920022032101325,2,spearman
xlm-roberta-large,welfare,4,0.15475929015436343,2,spearman
multilingual-e5-small,welfare,4,0.1748093946802963,2,spearman
mxbai-embed-large-v1,welfare,3,0.11442742337552785,2,spearman
M2V_base_glove_subword,welfare,1,0.09092410422663272,2,spearman
LaBSE,rai,Kvinde,0.17417628436600494,2,spearman
model2vecdk-stem,welfare,11,0.23868934273759554,2,spearman
potion-base-8M,rai,Unknown,0.07084989202803035,2,spearman
xlm-roberta-large,welfare,2,0.041666190771026894,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,0.19397050709628613,2,spearman
text-embedding-3-large,welfare,1,0.26145158309386646,2,spearman
EmbeddingGemma-Scandi-300m,welfare,3,0.29578435247511825,2,spearman
Qwen3-Embedding-0.6B,welfare,2,0.08016988882344847,2,spearman
m2v-dfm-large,welfare,11,0.2331165834302217,2,spearman
dfm-sentence-encoder-large,welfare,1,0.17086184200554252,2,spearman
nb-sbert-base,rai,Unknown,0.2113936715810597,2,spearman
M2V_base_glove,rai,Unknown,0.08103371542760406,2,spearman
snowflake-arctic-embed-l-v2.0,welfare,3,0.22980384145767777,2,spearman
xlm-roberta-large,welfare,11,0.13760309848129676,2,spearman
model2vecdk,welfare,11,0.2941686865171354,2,spearman
Qwen3-Embedding-0.6B,welfare,1,0.0860275464039653,2,spearman
multilingual-e5-small,rai,Kvinde,0.19099284235924996,2,spearman
nb-sbert-base,welfare,4,0.25666850651534184,2,spearman
text-embedding-3-small,welfare,4,0.27931971347212087,2,spearman
potion-base-2M,welfare,4,0.13091800283587013,2,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,0.25520039431168146,2,spearman
nb-sbert-base,rai,Mand,0.22560967831368392,2,spearman
potion-base-8M,welfare,11,0.15963385422885487,2,spearman
text-embedding-ada-002,welfare,1,0.2607296202106465,2,spearman
model2vecdk-stem,welfare,3,0.20040971533645702,2,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,11,0.1628014529340796,2,spearman
mmBERTscandi-base-embedding,rai,Unknown,0.22297634724080134,2,spearman
Qwen3-Embedding-0.6B,welfare,3,0.03364804897882061,2,spearman
multilingual-e5-small,rai,Unknown,0.21243211337254775,2,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,4,0.3110887602263777,2,spearman
LaBSE,rai,Unknown,0.17616332689497213,2,spearman
multilingual-e5-base,rai,Unknown,0.21314583620935,2,spearman
xlm-roberta-base,rai,Mand,0.13783994569671684,2,spearman
model2vecdk-stem,rai,Mand,0.17528657079177867,2,spearman
multilingual-e5-small,welfare,11,0.20704964710061904,2,spearman
xlm-roberta-base,welfare,2,0.040298028557859175,2,spearman
nb-sbert-base,welfare,3,0.24008917009493774,2,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,1,0.32725937914718284,2,spearman
potion-base-2M,rai,Unknown,0.08459762252217179,2,spearman
dfm-sentence-encoder-large,welfare,11,0.19076065740427234,2,spearman
potion-multilingual-128M,rai,Mand,0.16456368580514327,2,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Mand,0.22907958955949706,2,spearman
M2V_base_output,welfare,11,0.1490338007595804,2,spearman
LaBSE,welfare,2,0.22297035006886817,2,spearman
bge-m3,rai,Mand,0.20212568017098015,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,0.2807883900411189,2,spearman
text-embedding-3-large,rai,Unknown,0.2518439182242422,2,spearman
xlm-roberta-large,welfare,1,0.09559346708758888,2,spearman
model2vecdk-stem,rai,Kvinde,0.19087447294123527,2,spearman
dfm-sentence-encoder-large,rai,Kvinde,0.18151864940053186,2,spearman
text-embedding-ada-002,welfare,3,0.22324078199046707,2,spearman
M2V_base_glove,rai,Kvinde,0.10821373740994748,2,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,0.19268979156490137,2,spearman
multilingual-e5-large,rai,Kvinde,0.20500296058534564,2,spearman
dfm-sentence-encoder-large,rai,Mand,0.18318245298539226,2,spearman
text-embedding-3-large,rai,Mand,0.2288516012633782,2,spearman
potion-base-2M,welfare,2,0.05600109809472979,2,spearman
multilingual-e5-large,rai,Mand,0.1837438312580964,2,spearman
multilingual-e5-small,welfare,2,0.17081825386426402,2,spearman
M2V_base_glove,welfare,1,0.07580023382104636,2,spearman
mxbai-embed-large-v1,rai,Mand,0.1455281772185197,2,spearman
multilingual-e5-large,welfare,1,0.2196563987316558,2,spearman
M2V_base_output,welfare,1,0.08997461925701541,2,spearman
M2V_base_output,rai,Mand,0.1264502643493783,2,spearman
text-embedding-3-large,welfare,11,0.27961612426425164,2,spearman
static-similarity-mrl-multilingual-v1,welfare,4,0.15176337347196367,2,spearman
M2V_base_glove_subword,welfare,4,0.14896543317576116,2,spearman
mmBERTscandi-base-embedding,welfare,11,0.20829012080095077,2,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,0.20403998073863366,2,spearman
multilingual-e5-small,welfare,1,0.20838999390664695,2,spearman
multilingual-e5-large-instruct,rai,Kvinde,0.24938130357398178,2,spearman
model2vecdk,welfare,3,0.25433807679758097,2,spearman
static-similarity-mrl-multilingual-v1,rai,Unknown,0.10030567195732122,2,spearman
EmbeddingGemma-Scandi-300m,rai,Unknown,0.16697773707473518,2,spearman
text-embedding-3-large,welfare,2,0.21728648308359644,2,spearman
potion-base-2M,welfare,3,0.0968443806994479,2,spearman
xlm-roberta-large,rai,Mand,0.1138328052894205,3,spearman
model2vecdk-stem,rai,Mand,0.1735101738694285,3,spearman
Qwen3-Embedding-0.6B,welfare,1,0.07844767504411151,3,spearman
model2vecdk-stem,welfare,2,0.13681776031060572,3,spearman
mxbai-embed-large-v1,welfare,11,0.11146229864962016,3,spearman
mxbai-embed-large-v1,rai,Unknown,0.17415934090251484,3,spearman
static-similarity-mrl-multilingual-v1,welfare,11,0.16500650136496411,3,spearman
LaBSE,welfare,11,0.2463415477494005,3,spearman
model2vecdk,rai,Unknown,0.23386931914569403,3,spearman
M2V_base_glove,welfare,1,0.05380792002608887,3,spearman
EmbeddingGemma-Scandi-300m,welfare,3,0.30456226342651194,3,spearman
dfm-sentence-encoder-large,rai,Mand,0.18378471078921957,3,spearman
multilingual-e5-base,rai,Kvinde,0.19789142614954158,3,spearman
M2V_base_glove_subword,welfare,3,0.08258054415222182,3,spearman
potion-base-4M,welfare,3,0.10499785112529861,3,spearman
xlm-roberta-large,rai,Unknown,0.14448603264349738,3,spearman
multilingual-e5-large-instruct,welfare,3,0.2535735521747417,3,spearman
nb-sbert-base,welfare,1,0.2800795584249547,3,spearman
mxbai-embed-large-v1,welfare,4,0.1294542921224537,3,spearman
xlm-roberta-base,welfare,1,0.08801321513072606,3,spearman
static-similarity-mrl-multilingual-v1,welfare,3,0.1732461822386642,3,spearman
M2V_base_glove_subword,welfare,2,0.03298940315292916,3,spearman
potion-multilingual-128M,welfare,4,0.26739420712250717,3,spearman
text-embedding-ada-002,rai,Mand,0.20010837569542092,3,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,0.20585549676888137,3,spearman
mmBERTscandi-base-embedding,welfare,4,0.2124720615858812,3,spearman
snowflake-arctic-embed-l-v2.0,welfare,1,0.2590116855217147,3,spearman
mxbai-embed-large-v1,welfare,2,0.0929179415986886,3,spearman
potion-base-4M,rai,Kvinde,0.09556257560757397,3,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,0.2829573443632614,3,spearman
LaBSE,welfare,2,0.2241096335946045,3,spearman
Qwen3-Embedding-0.6B,welfare,4,-0.0020420943253393544,3,spearman
multilingual-e5-large-instruct,welfare,1,0.27312199740212506,3,spearman
multilingual-e5-large,welfare,2,0.21113080531678835,3,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,0.19662912460103532,3,spearman
multilingual-e5-large,welfare,3,0.21284687480983858,3,spearman
potion-multilingual-128M,welfare,3,0.216428808119336,3,spearman
Qwen3-Embedding-0.6B,welfare,2,0.08531748406577411,3,spearman
multilingual-e5-small,rai,Unknown,0.1820874195497803,3,spearman
mmBERTscandi-base-embedding,welfare,3,0.17557200344493143,3,spearman
multilingual-e5-base,welfare,11,0.20834956354106196,3,spearman
xlm-roberta-large,welfare,2,0.04705001093591147,3,spearman
text-embedding-3-large,welfare,2,0.2077843212743478,3,spearman
M2V_base_glove,rai,Mand,0.11519311452743568,3,spearman
potion-base-8M,rai,Unknown,0.06375060982967698,3,spearman
multilingual-e5-large,rai,Unknown,0.19164354320190727,3,spearman
snowflake-arctic-embed-l-v2.0,rai,Kvinde,0.2138366598585327,3,spearman
model2vecdk,welfare,1,0.22882567953643712,3,spearman
bge-m3,rai,Kvinde,0.21650241306407098,3,spearman
model2vecdk-stem,welfare,1,0.18634398327787136,3,spearman
bge-m3,welfare,2,0.24690565720589827,3,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,4,0.14509698395389178,3,spearman
multilingual-e5-large,rai,Kvinde,0.20031249706633705,3,spearman
mxbai-embed-large-v1,welfare,1,0.11424899335473764,3,spearman
mxbai-embed-large-v1,rai,Mand,0.14179841858347111,3,spearman
text-embedding-3-small,welfare,4,0.2846242864827117,3,spearman
xlm-roberta-base,welfare,3,0.07877321824279104,3,spearman
potion-multilingual-128M,rai,Mand,0.16521417294011936,3,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,0.25665974045632567,3,spearman
