model,dataset,demographics,iteration,auc
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Kvinde,6,0.23841131100374177
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,1,0,0.20944195109120536
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Mand,0,0.23511437047309725
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Unknown,1,0.29299607893846213
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,3,0.38582256889640454
multilingual-e5-large-instruct__prompt-similarity,welfare,2,1,0.4062899362270678
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,1,0.37525314834470125
multilingual-e5-large-instruct__prompt-cluster,rai,Kvinde,2,0.38192889550586695
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,4,0.3846016140197062
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Mand,4,0.26409601955381384
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Kvinde,5,0.18669561683666935
Qwen3-Embedding-0.6B__prompt-topic,welfare,2,4,0.3168832745062624
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Kvinde,6,0.3309611992306223
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,8,0.22570579436023094
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,4,9,0.17550298468892983
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Kvinde,4,0.19554754996827564
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,2,4,0.340421145699782
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,11,5,0.3898239295901414
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,1,5,0.2921955468343337
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,4,0,0.20770437092635594
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,7,0.31876451345581164
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,1,5,0.3372372941616254
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Mand,2,0.24302342608807842
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,3,8,0.3979342180677928
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,6,0.4273762094809266
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,2,4,0.268195980229064
multilingual-e5-large-instruct__prompt-cluster,rai,Unknown,7,0.4072270964439449
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Unknown,0,0.2857909026943505
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Mand,8,0.22110404091966418
Qwen3-Embedding-0.6B__prompt-cluster,welfare,3,4,0.22121013097326733
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,3,9,0.44159593491359994
multilingual-e5-large-instruct__prompt-meaning,rai,Kvinde,4,0.334708615432728
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,2,2,0.22589066029963423
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,2,5,0.3338083022428016
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,11,9,0.2459789616440909
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Mand,6,0.22853939916238938
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,1,8,0.4157050783570871
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Unknown,5,0.3825472264239818
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Kvinde,3,0.24698396132076023
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,1,0.17174023846539754
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,11,9,0.22708136602685644
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Kvinde,0,0.14619063631375245
Qwen3-Embedding-0.6B__prompt-similarity,rai,Kvinde,3,0.15868768768479327
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,4,6,0.33383666015866287
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,1,0.25171914376470106
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Unknown,0,0.4144687166570631
multilingual-e5-large-instruct__prompt-cluster,welfare,4,7,0.41588136252108093
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Mand,6,0.23659346938327444
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,3,7,0.3010139188169327
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Kvinde,7,0.2379065397467965
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,3,9,0.36290629432052834
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,6,0.2702591283965339
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,3,7,0.41520582287534025
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,3,2,0.18727429324307873
multilingual-e5-large-instruct__prompt-grouping,welfare,1,1,0.43432249300221487
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,6,0.3111843200127184
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,2,0.26657661140321226
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Kvinde,4,0.2395801971694373
Qwen3-Embedding-0.6B__prompt-grouping,rai,Mand,5,0.12224948244936902
multilingual-e5-large-instruct__prompt-cluster,welfare,4,2,0.40777675393437784
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Unknown,4,0.27276911889398037
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,3,7,0.35440383580791446
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,2,8,0.2909119594437314
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,4,7,0.17564708105258298
Qwen3-Embedding-0.6B__prompt-grouping,welfare,4,3,0.23578138151727532
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Unknown,9,0.2767496596351727
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,3,9,0.1758661227344802
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,8,0.3110863020768287
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,1,6,0.4001046706415103
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,3,0,0.33538656991508653
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,1,9,0.34238522569720964
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,11,8,0.25697700429693976
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Unknown,7,0.2899785718364351
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,2,8,0.36339138698899087
multilingual-e5-large-instruct__prompt-meaning,welfare,2,6,0.40324228435007126
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,2,8,0.3864314440548711
Qwen3-Embedding-0.6B__prompt-grouping,rai,Mand,1,0.1273719723834775
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,2,2,0.23159893024076667
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Unknown,2,0.2699041531904508
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,2,0,0.2144877668561999
Qwen3-Embedding-0.6B__prompt-similarity,rai,Kvinde,6,0.16142345085052162
multilingual-e5-large-instruct__prompt-topic,rai,Mand,6,0.34677589816234594
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,6,0.4395140773598621
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Kvinde,7,0.33937641720194667
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,2,5,0.19668035861905347
Qwen3-Embedding-0.6B__prompt-similarity,rai,Mand,3,0.13757137809647724
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,1,4,0.39314827346880576
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Unknown,4,0.2632351757710607
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,11,1,0.35033827604262446
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,3,2,0.20881361626272074
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,1,3,0.3288355159658308
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Unknown,7,0.31637592320808583
Qwen3-Embedding-0.6B__prompt-cluster,welfare,3,9,0.2343726038468924
Qwen3-Embedding-0.6B__prompt-meaning,welfare,4,1,0.22121577034322423
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,11,0,0.3575512008526398
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,2,5,0.23429684369141318
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,3,3,0.19755504124621182
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,2,1,0.3285693810798507
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Mand,6,0.10765254660052719
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Kvinde,9,0.2044417110231788
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,6,0.3871799175748161
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,2,3,0.2042731260999578
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,11,3,0.36029206847897105
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,1,1,0.3203749928822445
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,3,0,0.3608060746960976
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,4,5,0.25119175821945955
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Unknown,8,0.288677113756087
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,1,9,0.3612635139064709
Qwen3-Embedding-0.6B__prompt-cluster,welfare,4,4,0.17184549917128084
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Mand,2,0.202865366111209
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,4,1,0.2525931779161118
Qwen3-Embedding-0.6B__prompt-similarity,welfare,4,7,0.1759224705922267
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,1,4,0.23043511378777204
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Kvinde,9,0.21312813638831965
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,3,0.22170592054900912
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Unknown,9,0.25515162463420193
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,2,0.21245479995005764
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,3,9,0.36793730401025015
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,3,8,0.38191722181061993
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Unknown,6,0.24634280421696256
multilingual-e5-large-instruct__prompt-topic,rai,Unknown,2,0.41524807087064536
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,11,3,0.3106922566296696
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,8,0.21353444465668606
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Mand,2,0.33096942418476455
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Mand,8,0.11087407617632432
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,2,8,0.19627567635424856
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,8,0.1405048360515874
multilingual-e5-large-instruct__prompt-similarity,welfare,3,5,0.42137209940751114
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,2,6,0.21132628489572233
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,1,8,0.4075401187751475
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,9,0.2501812042961895
Qwen3-Embedding-0.6B__prompt-cluster,welfare,4,6,0.16922056910215333
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,2,5,0.27191150839745376
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,11,9,0.5035279521239201
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Mand,1,0.28162210986788144
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Unknown,6,0.26076678991766755
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,6,0.20315502953095618
Qwen3-Embedding-0.6B__prompt-cluster,rai,Kvinde,4,0.14172156820892687
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Kvinde,6,0.23416279939073356
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,2,0.20690351911530475
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,2,0.2764734824698348
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,3,5,0.2158592060034495
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,3,8,0.3219535605961286
multilingual-e5-large-instruct__prompt-similarity,rai,Mand,4,0.33620271107480626
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,2,5,0.3934547448990171
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Mand,7,0.1662682485767394
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Mand,2,0.20037225260808275
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,1,7,0.27344664823652853
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,6,0.20324779916014557
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Unknown,4,0.3729633299842274
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Mand,5,0.381041907582008
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Mand,9,0.23824089669412937
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Kvinde,1,0.22005380751322304
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,3,6,0.22179505728298973
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,11,6,0.4489907977700426
multilingual-e5-large-instruct__prompt-meaning,welfare,3,4,0.40365057108046243
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Unknown,7,0.24418743978927038
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,2,0,0.3953479171307926
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,2,5,0.4627887723689428
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,4,8,0.34265781080496094
Qwen3-Embedding-0.6B__prompt-cluster,rai,Mand,5,0.1267209144032012
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Mand,2,0.24337523262791455
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Kvinde,5,0.19877200244887852
Qwen3-Embedding-0.6B__prompt-grouping,welfare,11,5,0.2785321516306319
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,3,0,0.3039259284176402
multilingual-e5-large-instruct__prompt-meaning,welfare,2,2,0.4063025117849555
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Unknown,9,0.37781660240455145
multilingual-e5-large-instruct__prompt-cluster,welfare,1,8,0.44808899097201565
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,4,9,0.29671188937216314
Qwen3-Embedding-0.6B__prompt-similarity,rai,Kvinde,2,0.1517249906238869
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,1,4,0.25212767518901513
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Mand,6,0.22989353493754033
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,11,3,0.3853353913873237
multilingual-e5-large-instruct__prompt-cluster,rai,Mand,6,0.3496069973515331
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,0,0.22227316377059447
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Unknown,7,0.3664581383710363
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,4,8,0.3903541051971982
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Kvinde,7,0.34767172542771085
Qwen3-Embedding-0.6B__prompt-similarity,rai,Mand,2,0.1271366972382169
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,5,0.2511775131207179
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,0,0.41373091534173034
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Mand,1,0.20905715804685282
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Mand,4,0.22863153182358673
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,1,0.27690826649430283
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Mand,4,0.1148943722807856
Qwen3-Embedding-0.6B__prompt-cluster,welfare,11,3,0.3042969621672383
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Mand,2,0.19844447199982232
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Unknown,3,0.2774075131688721
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,3,9,0.37381414459630374
Qwen3-Embedding-0.6B__prompt-cluster,rai,Unknown,3,0.1677712923881786
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,3,4,0.36410936678515193
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,2,0.3970611736347733
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,2,0.21427489773333136
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,6,0.22673878505826503
multilingual-e5-large-instruct__prompt-grouping,welfare,3,9,0.45214844477412813
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,1,4,0.3701780345751869
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,5,0.2476931099484387
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,11,8,0.2361904145353829
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,9,0.43087303493116197
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,4,1,0.2606344219595057
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Mand,6,0.3764793037396581
Qwen3-Embedding-0.6B__prompt-cluster,welfare,2,3,0.3146385347551652
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,2,2,0.28303455622349344
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Mand,7,0.342028173399863
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,11,2,0.21290251881975278
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Mand,4,0.21324308914380122
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,11,8,0.44166526968124614
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,4,2,0.21549259186800024
multilingual-e5-large-instruct__prompt-meaning,welfare,3,6,0.4040284740998604
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,6,0.2774566354782121
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,3,1,0.34302845994020037
Qwen3-Embedding-0.6B__prompt-meaning,rai,Kvinde,4,0.1427939937560108
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Kvinde,6,0.2025095480992212
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Kvinde,3,0.3436514894350307
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Unknown,6,0.36572850925410383
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Unknown,6,0.2564945140037045
Qwen3-Embedding-0.6B__prompt-meaning,welfare,11,7,0.2835221458936723
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,1,0.2039790506036825
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,3,0,0.33532473872901464
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-rai,rai,Unknown,7,0.2531970791807106
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,8,0.2806676927981756
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,2,2,0.1895207549970341
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,3,5,0.41475037325699654
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,3,0.20449967786804005
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,7,0.19699876615457224
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,1,9,0.4542795267291187
Qwen3-Embedding-0.6B__prompt-similarity,welfare,4,5,0.17158961751525215
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,4,8,0.32088183094844097
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,6,0.29553861619793853
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,3,8,0.26376605883341814
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,1,0.27000855901837706
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,4,0.4045985634312831
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Mand,5,0.3340412821695595
multilingual-e5-large-instruct__prompt-meaning,welfare,4,3,0.33942156789083106
Qwen3-Embedding-0.6B__prompt-meaning,rai,Mand,2,0.12362439315343
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,11,9,0.25728313578140677
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Mand,9,0.27009471359434667
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Mand,4,0.22293597632911283
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,11,2,0.20027542120695532
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,2,0.25181838832930337
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Unknown,7,0.2560438804728212
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Mand,3,0.2018959989905037
Qwen3-Embedding-0.6B__prompt-cluster,rai,Unknown,7,0.22300702631305971
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,2,6,0.3269046018328518
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,1,0,0.24004392874229252
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,3,6,0.3812758841216959
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Unknown,3,0.30702173403994937
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,11,2,0.26573736819674393
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Kvinde,5,0.24597396128474364
Qwen3-Embedding-0.6B__prompt-similarity,welfare,4,6,0.1738756497815
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,2,4,0.3893942583929161
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,4,0.390921149084252
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,3,7,0.31969618487523893
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,2,2,0.3930587818555885
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,4,2,0.3230782379703484
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,3,0.3973582982833327
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Mand,9,0.26894357106123284
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Unknown,5,0.2999865879049868
Qwen3-Embedding-0.6B__prompt-grouping,welfare,11,7,0.26573162254117344
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Mand,7,0.261818122104879
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,4,2,0.1914429306708223
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,1,2,0.31963366028149187
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,2,0.3045123022955144
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,2,9,0.2960920270997011
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,4,7,0.23471223670740704
Qwen3-Embedding-0.6B__prompt-meaning,welfare,4,6,0.21487628940850365
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,4,0,0.3258785300203871
Qwen3-Embedding-0.6B__prompt-similarity,rai,Kvinde,1,0.1703281916247971
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,4,9,0.25225270780178044
multilingual-e5-large-instruct__prompt-cluster,welfare,4,6,0.42589712215876785
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Unknown,5,0.2883933824486432
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,7,0.21954417906257712
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,2,3,0.37226025658783113
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,4,6,0.4502834173955262
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,2,3,0.20401329168012364
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,5,0.28503907011041707
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Mand,1,0.21497684216780313
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Unknown,9,0.2861462082152546
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Mand,5,0.20027880060861916
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Mand,9,0.34115644247541377
multilingual-e5-large-instruct__prompt-meaning,welfare,3,9,0.41121128113444255
multilingual-e5-large-instruct__prompt-cluster,welfare,1,3,0.46796866281960225
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Mand,7,0.2427582884509555
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Kvinde,5,0.19385955904390523
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,4,8,0.178440576695511
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,5,0.29127256676635016
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Mand,6,0.2393767175896269
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,2,7,0.3302064057686141
Qwen3-Embedding-0.6B__prompt-cluster,welfare,11,1,0.26070347317297865
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,9,0.18248771347826773
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,3,5,0.1878448107461921
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Kvinde,0,0.19518467728087005
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,3,8,0.4477112062265352
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,1,2,0.31244361902672063
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,3,2,0.25337959803944254
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,0,0.13404435460701342
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Unknown,4,0.37560141493002286
