model,dataset,demographics,iteration,auc
M2V_base_output,rai,Unknown,1,0.09948104695973572
EmbeddingGemma-Scandi-300m,welfare,1,7,0.48769482241311785
multilingual-e5-large,welfare,11,9,0.40085224327936814
potion-multilingual-128M,welfare,4,3,0.4076942686282269
multilingual-e5-large,rai,Mand,6,0.30535914429275823
multilingual-e5-small,rai,Unknown,5,0.3096956447072596
snowflake-arctic-embed-l-v2.0,welfare,1,5,0.5039277028243769
M2V_base_output,welfare,1,6,0.20778681176025124
text-embedding-3-small,rai,Kvinde,0,0.33042453768172625
model2vecdk,welfare,1,4,0.40648704562858473
nb-sbert-base,welfare,1,4,0.5146384155736454
xlm-roberta-large,rai,Unknown,6,0.1578943582767856
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,1,0.4877074992462486
text-embedding-3-large,welfare,4,8,0.4402024757775474
snowflake-arctic-embed-l-v2.0,rai,Unknown,3,0.420904083214177
multilingual-e5-large-instruct,welfare,3,1,0.5149178573136372
bge-m3,rai,Kvinde,1,0.33829924953473045
M2V_base_glove,welfare,4,3,0.03742300220829368
multilingual-e5-large-instruct,welfare,1,5,0.5443491709926446
M2V_base_glove,rai,Kvinde,1,0.0160431890832961
bge-m3,rai,Unknown,1,0.3716565305701947
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,7,0.5432663516140963
M2V_base_glove,welfare,4,4,0.03245379066067067
M2V_base_output,welfare,3,9,0.19237194198196625
Qwen3-Embedding-0.6B,welfare,2,1,0.29172609901131624
potion-base-8M,welfare,1,2,0.2163491910646453
model2vecdk-stem,welfare,2,3,0.2735434069801115
xlm-roberta-large,welfare,1,3,0.13752700555440692
text-embedding-ada-002,rai,Unknown,8,0.41554483747575
mxbai-embed-large-v1,rai,Unknown,3,0.2444476611476825
mxbai-embed-large-v1,rai,Mand,7,0.21064061289420585
xlm-roberta-large,rai,Mand,3,0.12626558167277757
bge-m3,welfare,3,8,0.4249509131497211
potion-base-8M,rai,Kvinde,1,0.12546574995157
potion-multilingual-128M,rai,Unknown,3,0.264833853365687
text-embedding-3-small,welfare,4,2,0.47075934025410204
potion-multilingual-128M,rai,Kvinde,9,0.2532119585634646
multilingual-e5-small,welfare,4,8,0.3521976190957027
EmbeddingGemma-Scandi-300m,rai,Unknown,2,0.3968012050514975
bge-m3,welfare,3,5,0.43603607818497475
snowflake-arctic-embed-l-v2.0,welfare,4,5,0.4650591454950375
dfm-sentence-encoder-large,welfare,1,2,0.346482327419802
potion-base-2M,rai,Kvinde,3,0.11111413420298775
model2vecdk-stem,welfare,3,5,0.32023414260720195
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,0,0.2872053076370849
model2vecdk-stem,rai,Unknown,9,0.3287593836434534
multilingual-e5-base,welfare,2,0,0.3688845172106458
dfm-sentence-encoder-large,rai,Kvinde,3,0.26088316359515085
M2V_base_glove,welfare,11,4,0.028454489613472255
EmbeddingGemma-Scandi-300m,welfare,4,6,0.49825867912566935
M2V_base_output,welfare,11,5,0.2294997751052392
xlm-roberta-large,rai,Kvinde,8,0.13295714551755358
M2V_base_glove,welfare,2,6,-0.02690428103041462
xlm-roberta-large,welfare,2,5,0.06618997127298129
potion-base-4M,welfare,4,7,0.25644576317925627
Qwen3-Embedding-Scandi-0.6B,welfare,4,3,0.3006567849524091
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,6,0.28610215081790874
potion-base-4M,welfare,2,9,0.1637869112248159
multilingual-e5-base,welfare,2,6,0.36468409291984566
Qwen3-Embedding-0.6B,welfare,3,6,0.2428732738073192
multilingual-e5-large-instruct,welfare,1,8,0.5482314857533359
xlm-roberta-large,welfare,3,4,0.15796244286157848
EmbeddingGemma-Scandi-300m,welfare,3,8,0.5164355918264151
multilingual-e5-small,welfare,11,1,0.36299638319871946
static-similarity-mrl-multilingual-v1,welfare,4,2,0.2742241031863204
M2V_base_output,rai,Kvinde,9,0.11630793544706602
M2V_base_glove,rai,Kvinde,3,0.014306435868378858
multilingual-e5-large-instruct,rai,Mand,3,0.3884369405934187
nb-sbert-base,rai,Kvinde,1,0.3540051897350505
xlm-roberta-large,rai,Kvinde,2,0.13198979255296717
dfm-sentence-encoder-large,rai,Mand,4,0.28039379772444034
multilingual-e5-base,welfare,4,5,0.34742531074919436
multilingual-e5-small,welfare,2,3,0.34116333119769005
model2vecdk-stem,welfare,4,2,0.3155378092165017
multilingual-e5-large,welfare,4,1,0.4009143854299699
mmBERTscandi-base-embedding,rai,Unknown,5,0.37689154069960584
potion-multilingual-128M,rai,Kvinde,1,0.2521367637387036
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,6,0.3728079007329715
text-embedding-ada-002,rai,Unknown,0,0.40932320633308766
text-embedding-ada-002,welfare,11,4,0.439512559774267
multilingual-e5-large-instruct,welfare,4,3,0.4707783518435473
mmBERTscandi-base-embedding,welfare,4,0,0.38253527942682675
potion-base-2M,rai,Unknown,6,0.09033364585676917
M2V_base_output,rai,Kvinde,7,0.11822213817485965
M2V_base_glove_subword,rai,Unknown,5,0.11234859323309707
text-embedding-3-small,welfare,1,1,0.49734933727635955
xlm-roberta-large,rai,Unknown,9,0.14564724952932084
paraphrase-multilingual-mpnet-base-v2,welfare,4,5,0.5355394978486229
m2v-dfm-large,welfare,11,9,0.3731444403922363
potion-base-4M,welfare,3,6,0.19737821920749007
multilingual-e5-large-instruct,welfare,2,7,0.5114537181725488
paraphrase-multilingual-mpnet-base-v2,welfare,2,3,0.5051255085294074
LaBSE,welfare,11,0,0.4387072338130285
xlm-roberta-base,rai,Mand,1,0.15435343662449708
xlm-roberta-base,welfare,11,5,0.0698498298708966
m2v-dfm-large,rai,Mand,8,0.32605709001707184
xlm-roberta-base,rai,Kvinde,8,0.15808183412659643
potion-multilingual-128M,welfare,11,9,0.4266186412156003
mmBERTscandi-base-embedding,welfare,3,1,0.3547102646200895
model2vecdk-stem,rai,Kvinde,3,0.2915825222460499
mxbai-embed-large-v1,welfare,2,9,0.17367313828061562
potion-base-4M,rai,Kvinde,3,0.11808300865592426
text-embedding-3-large,welfare,1,2,0.5094449268508738
multilingual-e5-small,welfare,4,6,0.34385742704631755
potion-base-8M,welfare,11,5,0.23746673119236997
potion-base-4M,welfare,3,7,0.19971608801714033
potion-base-4M,welfare,2,7,0.16812333792119094
multilingual-e5-small,welfare,11,7,0.3643180607616665
M2V_base_output,welfare,1,5,0.20909723169864633
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,3,0.34470948518588895
LaBSE,welfare,2,2,0.4228301997070955
text-embedding-3-large,welfare,11,0,0.47592733523829406
LaBSE,rai,Unknown,4,0.3354627883505652
potion-base-2M,welfare,11,1,0.21444553091198706
potion-multilingual-128M,welfare,2,2,0.3216894096503627
text-embedding-3-large,welfare,2,6,0.46967282979834574
model2vecdk,welfare,2,8,0.32351920813317386
m2v-dfm-large,welfare,4,1,0.35718726226970793
multilingual-e5-large-instruct,rai,Kvinde,2,0.4188576604692298
snowflake-arctic-embed-l-v2.0,welfare,11,7,0.4689555043493667
multilingual-e5-base,rai,Unknown,5,0.3502259725066059
text-embedding-ada-002,rai,Kvinde,6,0.3459482929914659
bge-m3,rai,Kvinde,2,0.337029405023264
potion-base-2M,welfare,1,4,0.17610002019846255
potion-multilingual-128M,welfare,11,7,0.4236789515461211
EmbeddingGemma-Scandi-300m,rai,Unknown,8,0.39675759370251495
text-embedding-3-small,rai,Mand,5,0.2983377570805163
m2v-dfm-large,rai,Unknown,9,0.35083084793055835
mxbai-embed-large-v1,welfare,1,2,0.23534996639451433
text-embedding-ada-002,welfare,1,1,0.5101223824490403
m2v-dfm-large,welfare,1,2,0.4151744481074853
m2v-dfm-large,welfare,11,3,0.3738911306413556
dfm-sentence-encoder-large,welfare,3,0,0.3475079562763449
m2v-dfm-large,rai,Mand,6,0.32806186131612564
potion-base-2M,rai,Mand,2,0.13763947195400206
multilingual-e5-large,rai,Mand,2,0.30228059646031585
potion-base-4M,rai,Mand,1,0.14644809287464872
M2V_base_output,rai,Kvinde,2,0.11798125088944483
model2vecdk-stem,welfare,2,1,0.27276519872019944
multilingual-e5-base,welfare,3,2,0.37510394520627144
M2V_base_glove_subword,welfare,2,2,0.1495788294104905
mxbai-embed-large-v1,welfare,3,1,0.19057721409538567
M2V_base_glove,welfare,1,1,-0.01124930663903054
model2vecdk,rai,Mand,5,0.2767513745226242
potion-multilingual-128M,welfare,2,4,0.3234749584325579
potion-base-4M,rai,Kvinde,2,0.11573561847080625
multilingual-e5-large,welfare,2,2,0.40104251162688365
Qwen3-Embedding-Scandi-0.6B,welfare,4,5,0.3025394890658935
xlm-roberta-base,rai,Mand,7,0.1513058488559746
bge-m3,welfare,2,8,0.4595806734610582
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,9,0.36722724542865576
model2vecdk-stem,welfare,4,9,0.31923289924047676
EmbeddingGemma-Scandi-300m,welfare,4,0,0.4918105787618465
potion-base-8M,rai,Unknown,5,0.09171702744983262
nb-sbert-base,rai,Mand,2,0.3592527774770043
model2vecdk,welfare,2,7,0.3308426573255395
multilingual-e5-large-instruct,welfare,4,9,0.4749685005719233
static-similarity-mrl-multilingual-v1,welfare,3,2,0.3275299245104494
Qwen3-Embedding-Scandi-0.6B,welfare,1,5,0.35388827205375184
dfm-sentence-encoder-large,welfare,11,8,0.32990020896646244
potion-base-2M,rai,Mand,9,0.13502010017870256
multilingual-e5-small,welfare,4,2,0.3466754585762855
text-embedding-3-large,rai,Kvinde,2,0.39110536418373215
xlm-roberta-large,rai,Kvinde,4,0.13091183453994903
snowflake-arctic-embed-l-v2.0,welfare,11,1,0.46589148549556847
text-embedding-3-large,rai,Mand,2,0.393731750167281
LaBSE,welfare,11,2,0.4367924589130768
text-embedding-3-small,welfare,11,1,0.4519346211941125
mxbai-embed-large-v1,rai,Mand,5,0.21040069481039012
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,7,0.328998446851461
model2vecdk-stem,welfare,2,8,0.27993266675164324
potion-base-8M,welfare,2,5,0.16722552730534787
multilingual-e5-large,welfare,4,4,0.4076067532954518
text-embedding-3-large,rai,Kvinde,9,0.3924648896895812
multilingual-e5-large-instruct,rai,Mand,5,0.3890088416052979
potion-base-8M,welfare,2,1,0.16907971422974846
mxbai-embed-large-v1,rai,Unknown,5,0.24515276917358983
M2V_base_glove_subword,welfare,2,9,0.15829166816900234
mmBERTscandi-base-embedding,rai,Mand,8,0.28219773662911957
potion-multilingual-128M,welfare,4,2,0.41137468508551933
mxbai-embed-large-v1,welfare,2,6,0.17353793959169828
potion-base-2M,welfare,1,0,0.1809730770315499
text-embedding-ada-002,rai,Mand,6,0.3239018109995501
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,7,0.43591638920154613
M2V_base_glove_subword,welfare,3,2,0.20658752599954697
xlm-roberta-large,welfare,2,6,0.07177178241507881
multilingual-e5-small,rai,Kvinde,9,0.27721698605966705
M2V_base_glove_subword,welfare,11,0,0.2309392850747454
m2v-dfm-large,welfare,11,1,0.37691760237001765
text-embedding-3-large,welfare,4,7,0.4464986131302201
m2v-dfm-large,rai,Kvinde,1,0.31109506894012234
potion-base-4M,welfare,3,1,0.20383210636594964
multilingual-e5-small,rai,Mand,7,0.29582886636667627
potion-base-4M,rai,Unknown,5,0.10216631765033492
M2V_base_output,welfare,4,4,0.2619681710214329
multilingual-e5-large,rai,Kvinde,8,0.3116948887743865
xlm-roberta-large,welfare,4,7,0.17900694732252667
model2vecdk-stem,welfare,11,8,0.38335081031116014
mxbai-embed-large-v1,welfare,4,7,0.1834831858480378
mxbai-embed-large-v1,welfare,2,8,0.17931058892131688
text-embedding-3-small,welfare,2,9,0.4511038008378357
xlm-roberta-large,welfare,11,1,0.12740666661553265
static-similarity-mrl-multilingual-v1,welfare,11,1,0.3309118793743038
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,1,0.5265696798909348
m2v-dfm-large,welfare,1,7,0.4186052114069759
xlm-roberta-base,welfare,2,9,0.0589749413047735
m2v-dfm-large,welfare,11,2,0.37182873087956597
m2v-dfm-large,welfare,11,0,0.3768743936637209
M2V_base_glove,rai,Kvinde,9,0.01613052401569924
mxbai-embed-large-v1,welfare,3,6,0.19333336197557865
multilingual-e5-large,welfare,3,5,0.3989824143053049
potion-base-4M,welfare,2,1,0.16739744057713593
text-embedding-3-small,welfare,3,7,0.46144104428947585
static-similarity-mrl-multilingual-v1,rai,Unknown,1,0.2513301411111
snowflake-arctic-embed-l-v2.0,welfare,1,0,0.5141492439658116
m2v-dfm-large,welfare,4,4,0.35469669945643456
EmbeddingGemma-Scandi-300m,rai,Kvinde,4,0.34299938460407026
potion-base-8M,welfare,4,6,0.2577749036894227
snowflake-arctic-embed-l-v2.0,welfare,3,9,0.44728452419793624
potion-base-8M,welfare,11,3,0.2343353518548992
Qwen3-Embedding-0.6B,welfare,1,2,0.3325972118802199
bge-m3,welfare,2,5,0.45622840693271555
text-embedding-3-large,welfare,3,2,0.4862011623490535
multilingual-e5-large-instruct,rai,Mand,2,0.3874373222563216
model2vecdk-stem,rai,Kvinde,0,0.29076748862972857
LaBSE,welfare,11,9,0.43368115671703084
Qwen3-Embedding-0.6B,rai,Unknown,1,0.23077121308017204
text-embedding-3-small,rai,Kvinde,9,0.3281931162733686
potion-base-2M,rai,Kvinde,0,0.1137953013785879
Qwen3-Embedding-0.6B,welfare,11,6,0.29120879952378975
M2V_base_glove,welfare,1,0,-0.02248322457994614
snowflake-arctic-embed-l-v2.0,rai,Mand,9,0.33813326103134894
potion-multilingual-128M,rai,Unknown,1,0.2790084649098818
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,5,0.5058738219488262
mmBERTscandi-base-embedding,welfare,1,0,0.4091161015052663
Qwen3-Embedding-0.6B,rai,Mand,7,0.1497565341383969
potion-base-4M,welfare,4,1,0.252376259856758
static-similarity-mrl-multilingual-v1,welfare,4,7,0.27459133880384295
M2V_base_glove,rai,Unknown,0,0.014430299672632728
multilingual-e5-base,rai,Kvinde,8,0.28812269972376525
potion-multilingual-128M,welfare,1,3,0.44197746769911783
bge-m3,rai,Kvinde,4,0.3376725468407256
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,4,0.35572198397516025
dfm-sentence-encoder-large,rai,Unknown,3,0.3183425606889819
Qwen3-Embedding-0.6B,welfare,2,4,0.2935315806377848
paraphrase-multilingual-mpnet-base-v2,rai,Mand,8,0.3803917662418528
mxbai-embed-large-v1,rai,Kvinde,9,0.17631883374537843
dfm-sentence-encoder-large,welfare,3,8,0.34832995614069984
multilingual-e5-large-instruct,welfare,1,1,0.5465117640387799
M2V_base_output,welfare,4,6,0.25763088954990077
mmBERTscandi-base-embedding,welfare,1,8,0.410236349020335
multilingual-e5-large-instruct,welfare,11,7,0.4848912775503745
Qwen3-Embedding-0.6B,rai,Mand,5,0.1459889786204901
mmBERTscandi-base-embedding,welfare,11,7,0.3714972971224719
multilingual-e5-small,rai,Mand,0,0.29551223443590985
multilingual-e5-base,welfare,2,3,0.3741797920910082
potion-base-8M,welfare,2,8,0.16591446423527964
potion-base-8M,rai,Kvinde,3,0.12497856543028857
text-embedding-3-small,welfare,2,8,0.45548065766915435
EmbeddingGemma-Scandi-300m,welfare,11,9,0.5180328316935833
potion-base-8M,rai,Kvinde,7,0.12765617349736116
xlm-roberta-large,rai,Mand,2,0.12472659910899143
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,5,0.4935301366272048
potion-base-4M,welfare,11,1,0.22791436378621918
EmbeddingGemma-Scandi-300m,rai,Mand,8,0.33391917530357307
mxbai-embed-large-v1,welfare,4,2,0.1783445619124806
multilingual-e5-small,welfare,11,5,0.36125922599386584
mmBERTscandi-base-embedding,rai,Kvinde,5,0.2840747457319567
text-embedding-ada-002,rai,Kvinde,3,0.34826653430345256
xlm-roberta-base,rai,Mand,4,0.15209122267140246
text-embedding-3-small,rai,Unknown,5,0.3703521359929447
nb-sbert-base,welfare,2,6,0.46456902044053744
dfm-sentence-encoder-large,rai,Kvinde,4,0.264124062043125
Qwen3-Embedding-0.6B,rai,Kvinde,4,0.1675758627107847
mmBERTscandi-base-embedding,welfare,4,7,0.3859838018953989
EmbeddingGemma-Scandi-300m,welfare,2,9,0.46120384154614835
multilingual-e5-small,welfare,2,6,0.3350985780419517
M2V_base_output,welfare,3,6,0.19549544728960921
m2v-dfm-large,rai,Mand,0,0.3265901610448962
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,7,0.5059670083145252
bge-m3,rai,Unknown,2,0.3565186725303647
multilingual-e5-large-instruct,welfare,11,8,0.4832163467485021
text-embedding-ada-002,welfare,3,0,0.4408491689545984
paraphrase-multilingual-mpnet-base-v2,welfare,1,3,0.5717525951585727
potion-base-8M,welfare,2,4,0.17322801908494856
model2vecdk,rai,Kvinde,1,0.2915266214315153
xlm-roberta-large,welfare,11,8,0.12392867643181459
text-embedding-3-small,welfare,3,4,0.45755666966312736
M2V_base_glove,welfare,2,8,-0.02602050673280104
Qwen3-Embedding-0.6B,welfare,3,3,0.23577255538972797
mxbai-embed-large-v1,welfare,3,4,0.18996380033302732
multilingual-e5-small,rai,Mand,5,0.2954600594003775
mmBERTscandi-base-embedding,welfare,3,4,0.35638140555325126
multilingual-e5-base,rai,Mand,9,0.28875304768141413
potion-base-4M,rai,Mand,4,0.14970752859611083
xlm-roberta-large,welfare,2,8,0.07224098505955602
potion-base-4M,welfare,3,9,0.1959715090029955
snowflake-arctic-embed-l-v2.0,rai,Mand,8,0.3355587344743136
EmbeddingGemma-Scandi-300m,rai,Mand,2,0.332541598750499
EmbeddingGemma-Scandi-300m,rai,Mand,0,0.33196610843400404
potion-base-8M,welfare,4,8,0.26064586985158944
xlm-roberta-large,welfare,11,0,0.1302963359819633
Qwen3-Embedding-0.6B,welfare,11,3,0.2835837090330804
multilingual-e5-base,welfare,1,1,0.4109104072136006
Qwen3-Embedding-Scandi-0.6B,welfare,11,1,0.2788449735962024
multilingual-e5-large-instruct,welfare,2,2,0.5165988299208143
xlm-roberta-base,rai,Unknown,0,0.1782336421976377
model2vecdk,welfare,3,1,0.37924632884907883
bge-m3,welfare,4,9,0.4205204061523112
M2V_base_output,rai,Mand,4,0.14528700365564148
Qwen3-Embedding-Scandi-0.6B,rai,Mand,0,0.27928963033066156
bge-m3,rai,Unknown,7,0.35573369429371493
EmbeddingGemma-Scandi-300m,welfare,4,4,0.49718689317983933
EmbeddingGemma-Scandi-300m,rai,Kvinde,1,0.34310620565635835
Qwen3-Embedding-Scandi-0.6B,welfare,2,1,0.28864792425313407
multilingual-e5-small,rai,Mand,1,0.2943075703761813
nb-sbert-base,welfare,4,8,0.47440494468485245
multilingual-e5-large-instruct,welfare,4,6,0.4771345032113123
Qwen3-Embedding-0.6B,welfare,4,9,0.19230337473330908
M2V_base_output,welfare,3,4,0.1993314305737618
M2V_base_output,rai,Mand,1,0.14529682692167434
text-embedding-ada-002,rai,Kvinde,2,0.3439952317446496
model2vecdk,welfare,1,0,0.4047579599081455
potion-base-8M,welfare,4,4,0.2539295969891061
multilingual-e5-large-instruct,welfare,4,0,0.4743897389396173
multilingual-e5-large-instruct,welfare,1,3,0.5479646016295139
EmbeddingGemma-Scandi-300m,rai,Mand,7,0.3315838402023694
multilingual-e5-large,welfare,11,6,0.3984628117845018
bge-m3,rai,Unknown,0,0.35772081772628617
Qwen3-Embedding-Scandi-0.6B,welfare,1,0,0.35650009194969273
text-embedding-3-large,welfare,11,6,0.47867826643402894
mmBERTscandi-base-embedding,welfare,1,9,0.4114300751284637
potion-multilingual-128M,welfare,11,0,0.42076691043908093
text-embedding-ada-002,welfare,11,1,0.43620104324572057
mmBERTscandi-base-embedding,rai,Unknown,8,0.3529117852259305
potion-base-8M,welfare,11,6,0.23598889460039257
EmbeddingGemma-Scandi-300m,rai,Kvinde,7,0.34476423913731136
nb-sbert-base,welfare,11,2,0.4791265737029621
potion-base-2M,rai,Unknown,3,0.08141829819160698
mxbai-embed-large-v1,welfare,4,4,0.1679698290636871
static-similarity-mrl-multilingual-v1,rai,Kvinde,4,0.21230767683771212
LaBSE,welfare,1,9,0.4817633016655792
bge-m3,welfare,1,2,0.4864249859009465
multilingual-e5-large-instruct,rai,Mand,6,0.3886439545039263
multilingual-e5-large-instruct,welfare,3,8,0.518203937715967
multilingual-e5-large,welfare,11,4,0.3993440025336064
text-embedding-3-small,welfare,11,6,0.44883403711138475
potion-base-8M,rai,Unknown,9,0.0963681094261759
mxbai-embed-large-v1,welfare,2,2,0.17750981096574786
snowflake-arctic-embed-l-v2.0,welfare,11,4,0.47055080179088143
text-embedding-ada-002,rai,Mand,7,0.325957945522098
Qwen3-Embedding-0.6B,rai,Kvinde,1,0.1683111340572094
potion-base-2M,welfare,3,7,0.1749754511550698
Qwen3-Embedding-0.6B,rai,Mand,3,0.14907934844167836
multilingual-e5-large,welfare,11,5,0.4014215328186881
M2V_base_output,welfare,2,9,0.16127473118208704
multilingual-e5-large,rai,Unknown,3,0.35705852043687714
multilingual-e5-large,welfare,11,0,0.40093017514965007
dfm-sentence-encoder-large,rai,Mand,6,0.2816034432132199
mmBERTscandi-base-embedding,welfare,1,3,0.4087222465489498
dfm-sentence-encoder-large,welfare,1,4,0.34624320750133253
multilingual-e5-small,welfare,11,4,0.3668252616844683
static-similarity-mrl-multilingual-v1,welfare,1,8,0.35725738354362935
mxbai-embed-large-v1,welfare,4,0,0.17293063036841472
M2V_base_output,welfare,4,3,0.25668508609082796
bge-m3,welfare,1,4,0.49258737058603935
xlm-roberta-base,welfare,2,0,0.061199525870736224
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,1,0.5475431785169594
Qwen3-Embedding-0.6B,welfare,1,8,0.3264144098189144
mxbai-embed-large-v1,rai,Unknown,2,0.2540714190603899
potion-base-2M,rai,Kvinde,2,0.11102411869965767
mxbai-embed-large-v1,welfare,2,4,0.176424373541702
potion-multilingual-128M,rai,Kvinde,5,0.25427090251163714
potion-base-4M,rai,Mand,5,0.15005165717455551
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,7,0.4071236390241042
potion-base-4M,welfare,11,3,0.22661826487065492
model2vecdk,welfare,11,4,0.4035334036387347
xlm-roberta-large,welfare,3,6,0.1587031196095914
text-embedding-ada-002,welfare,2,1,0.4361141629747988
paraphrase-multilingual-mpnet-base-v2,welfare,2,1,0.5115143244961895
LaBSE,rai,Mand,2,0.30322837224329074
potion-base-8M,rai,Mand,7,0.151043342100448
dfm-sentence-encoder-large,welfare,2,0,0.306957941464
static-similarity-mrl-multilingual-v1,welfare,2,7,0.3087447600020173
dfm-sentence-encoder-large,rai,Unknown,7,0.3078810607050912
mmBERTscandi-base-embedding,welfare,11,8,0.36764111652669396
dfm-sentence-encoder-large,welfare,2,3,0.3039616732395738
xlm-roberta-large,rai,Mand,5,0.12513428020729328
nb-sbert-base,welfare,4,0,0.47378928239452045
multilingual-e5-large,welfare,11,1,0.40246617283735103
M2V_base_glove_subword,welfare,1,4,0.2129533222067862
potion-base-4M,welfare,2,4,0.1728481041359611
potion-multilingual-128M,welfare,4,7,0.41388707398940583
m2v-dfm-large,rai,Unknown,2,0.36451425922571734
model2vecdk-stem,welfare,11,5,0.38596013748940317
nb-sbert-base,rai,Mand,5,0.3593006355088173
static-similarity-mrl-multilingual-v1,rai,Mand,2,0.24143550976042089
model2vecdk,welfare,4,8,0.3689073977121526
snowflake-arctic-embed-l-v2.0,welfare,2,4,0.4880896447721458
Qwen3-Embedding-Scandi-0.6B,welfare,2,9,0.28605137080618553
text-embedding-ada-002,welfare,11,8,0.4295987296670338
model2vecdk,rai,Mand,9,0.2784296290579
static-similarity-mrl-multilingual-v1,welfare,3,3,0.32557103853973285
text-embedding-3-large,welfare,4,0,0.4436758279563927
mmBERTscandi-base-embedding,welfare,1,6,0.4099880395785895
multilingual-e5-small,welfare,11,2,0.37454328342028104
xlm-roberta-large,rai,Unknown,5,0.1340117797697755
mxbai-embed-large-v1,rai,Mand,8,0.21142216890196391
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,9,0.4073339829905317
Qwen3-Embedding-Scandi-0.6B,rai,Mand,9,0.2816475015329845
xlm-roberta-large,welfare,4,1,0.18639168408969536
EmbeddingGemma-Scandi-300m,welfare,3,7,0.5170872758215939
dfm-sentence-encoder-large,rai,Kvinde,7,0.2622627146482224
nb-sbert-base,welfare,2,9,0.4725843443299865
dfm-sentence-encoder-large,rai,Kvinde,9,0.2642184596111582
xlm-roberta-large,welfare,11,4,0.1228649494549087
m2v-dfm-large,welfare,2,6,0.3356344476732065
multilingual-e5-large,rai,Unknown,1,0.37212478526374765
xlm-roberta-base,rai,Kvinde,7,0.15903719803704786
M2V_base_output,rai,Kvinde,5,0.11840636953139039
multilingual-e5-large-instruct,welfare,3,3,0.5162427088892859
xlm-roberta-base,welfare,4,1,0.10566487477605487
potion-base-8M,rai,Unknown,4,0.09449111246983968
xlm-roberta-base,rai,Mand,3,0.15410831212969833
EmbeddingGemma-Scandi-300m,rai,Kvinde,6,0.34247983007555216
M2V_base_output,welfare,1,3,0.21053495635497682
mxbai-embed-large-v1,welfare,3,7,0.19466415906786985
text-embedding-3-small,welfare,3,9,0.45895777898974494
mmBERTscandi-base-embedding,rai,Mand,2,0.2823595466538433
M2V_base_glove_subword,welfare,2,3,0.1520428237124345
potion-base-4M,welfare,4,4,0.2588198705808785
multilingual-e5-large,rai,Unknown,6,0.35893171074269675
M2V_base_output,welfare,3,2,0.19112141012979567
potion-base-2M,welfare,4,1,0.21377439946143292
xlm-roberta-large,rai,Mand,1,0.12398318860154688
M2V_base_glove_subword,welfare,4,8,0.25489209725288026
text-embedding-3-large,welfare,3,1,0.48428876923653613
static-similarity-mrl-multilingual-v1,rai,Unknown,5,0.24408857559101438
static-similarity-mrl-multilingual-v1,welfare,11,9,0.3286104956384794
xlm-roberta-large,welfare,3,9,0.15662594157910675
potion-base-8M,welfare,2,6,0.1671063652399214
m2v-dfm-large,welfare,11,4,0.37299641277024753
Qwen3-Embedding-0.6B,rai,Mand,6,0.15126440934972443
EmbeddingGemma-Scandi-300m,rai,Mand,6,0.33166633141881235
EmbeddingGemma-Scandi-300m,welfare,3,6,0.516618930422799
snowflake-arctic-embed-l-v2.0,welfare,2,6,0.48861680927724416
potion-base-8M,welfare,3,8,0.20528382040489215
LaBSE,welfare,11,5,0.43612678301517643
multilingual-e5-small,rai,Kvinde,7,0.2779364125570773
multilingual-e5-base,rai,Kvinde,5,0.2890131206791943
multilingual-e5-large,welfare,1,0,0.43014950235845845
potion-base-2M,rai,Mand,3,0.13693504517778676
LaBSE,rai,Unknown,9,0.3476579956090487
multilingual-e5-small,rai,Mand,4,0.29567018612917456
multilingual-e5-small,rai,Kvinde,4,0.27811189074177567
potion-base-4M,welfare,1,8,0.208603263284436
model2vecdk,welfare,1,1,0.40115961098677444
LaBSE,welfare,3,4,0.44890466486731806
mxbai-embed-large-v1,rai,Kvinde,4,0.17934314086213593
model2vecdk-stem,welfare,1,7,0.33534238371070957
bge-m3,welfare,1,8,0.48860197514276876
dfm-sentence-encoder-large,rai,Unknown,6,0.3140079361450019
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,4,0.3897321104435605
mmBERTscandi-base-embedding,rai,Mand,6,0.28475132972532163
multilingual-e5-large-instruct,welfare,1,0,0.5469890294611236
LaBSE,welfare,2,5,0.42238852405550653
potion-base-8M,rai,Unknown,1,0.09399719612979505
multilingual-e5-base,welfare,4,9,0.3464490914275209
mmBERTscandi-base-embedding,welfare,3,6,0.35539007694503977
static-similarity-mrl-multilingual-v1,rai,Mand,5,0.24034047145494516
Qwen3-Embedding-Scandi-0.6B,welfare,4,2,0.31157956932068537
